"","Rk","G","Date","Age","Tm","Column1","Opp","_1","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","Name"
"264",5,5,2022-10-29,"34-211","MIL",H,"ATL","W (+8)","1","34:00","8","12",".667","5","8",".625","0","0",NA,"1","5","6","0","1","2","1","2","21","18.6","+16","Robin Lopez"
"265",6,6,2022-10-31,"34-213","MIL",H,"DET","W (+2)","1","34:25","10","16",".625","2","5",".400","2","2","1.000","4","5","9","0","0","2","1","4","24","19.9","+12","Robin Lopez"
"266",7,7,2022-11-02,"34-215","MIL",H,"DET","W (+25)","1","27:02","5","8",".625","0","2",".000","1","1","1.000","2","5","7","2","1","1","3","1","11","10.0","+29","Robin Lopez"
"267",8,8,2022-11-04,"34-217","MIL","@","MIN","W (+13)","1","32:42","2","6",".333","2","4",".500","1","2",".500","3","5","8","0","0","1","2","4","7","3.9","-2","Robin Lopez"
"268",9,9,2022-11-05,"34-218","MIL",H,"OKC","W (+14)","1","23:42","10","16",".625","4","9",".444","1","1","1.000","2","1","3","1","1","1","3","3","25","17.7","+13","Robin Lopez"
"269",10,10,2022-11-07,"34-220","MIL","@","ATL","L (-19)","1","27:50","4","9",".444","3","7",".429","0","0",NA,"1","1","2","0","0","2","1","2","11","6.9","-18","Robin Lopez"
"270",11,11,2022-11-09,"34-222","MIL","@","OKC","W (+4)","1","45:39","11","23",".478","1","6",".167","1","2",".500","4","9","13","1","1","5","1","0","24","21.6","+10","Robin Lopez"
"271",12,12,2022-11-11,"34-224","MIL","@","SAS","L (-18)","1","29:33","6","14",".429","3","7",".429","4","5",".800","1","2","3","2","1","2","5","4","19","9.7","-17","Robin Lopez"
"272",13,13,2022-11-14,"34-227","MIL",H,"ATL","L (-15)","1","33:06","3","8",".375","0","4",".000","6","7",".857","1","4","5","1","0","0","1","2","12","8.0","-3","Robin Lopez"
"273",14,14,2022-11-16,"34-229","MIL",H,"CLE","W (+15)","1","30:20","10","13",".769","7","9",".778","2","2","1.000","1","4","5","1","1","3","1","2","29","27.8","+22","Robin Lopez"
"274",15,15,2022-11-18,"34-231","MIL","@","PHI","L (-8)","1","34:23","5","12",".417","2","5",".400","3","4",".750","1","3","4","2","1","4","0","2","15","14.2","-5","Robin Lopez"
"275",16,16,2022-11-21,"34-234","MIL",H,"POR","W (+8)","1","30:22","6","12",".500","2","5",".400","0","0",NA,"2","2","4","2","1","5","1","1","14","14.5","-2","Robin Lopez"
"276",17,17,2022-11-23,"34-236","MIL",H,"CHI","L (-5)","1","31:59","8","16",".500","3","7",".429","1","3",".333","1","6","7","0","1","1","0","0","20","15.4","-6","Robin Lopez"
"277",18,18,2022-11-25,"34-238","MIL",H,"CLE","W (+15)","1","27:32","3","3","1.000","2","2","1.000","0","0",NA,"0","4","4","0","0","6","0","0","8","12.5","+20","Robin Lopez"
"278",19,19,2022-11-27,"34-240","MIL",H,"DAL","W (+9)","1","23:25","5","7",".714","2","3",".667","1","1","1.000","0","4","4","2","1","4","2","5","13","12.5","-1","Robin Lopez"
"279",20,20,2022-11-30,"34-243","MIL","@","NYK","W (+6)","1","34:17","2","8",".250","1","5",".200","4","4","1.000","0","6","6","1","0","2","0","1","9","7.7","+1","Robin Lopez"
"280",21,21,2022-12-02,"34-245","MIL",H,"LAL","L (-4)","1","31:42","4","7",".571","3","5",".600","2","2","1.000","2","5","7","1","0","3","1","1","13","14.0","-6","Robin Lopez"
"281",22,22,2022-12-03,"34-246","MIL","@","CHO","W (+9)","1","32:09","4","11",".364","3","5",".600","3","3","1.000","1","5","6","3","0","6","3","4","14","11.8","+6","Robin Lopez"
"282",24,23,2022-12-07,"34-250","MIL",H,"SAC","W (+13)","1","34:02","6","15",".400","2","7",".286","3","3","1.000","6","3","9","3","0","1","0","3","17","15.6","+16","Robin Lopez"
"283",25,24,2022-12-09,"34-252","MIL","@","DAL","W (+1)","1","29:04","1","4",".250","0","1",".000","2","2","1.000","0","6","6","0","0","3","1","2","4","3.7","-6","Robin Lopez"
"284",26,25,2022-12-11,"34-254","MIL","@","HOU","L (-5)","1","32:42","2","8",".250","1","4",".250","2","2","1.000","2","1","3","0","0","3","1","2","7","4.2","+5","Robin Lopez"
"285",27,26,2022-12-13,"34-256","MIL",H,"GSW","W (+17)","1","28:20","3","5",".600","1","2",".500","0","0",NA,"0","7","7","2","0","2","1","4","7","7.0","+19","Robin Lopez"
"286",28,27,2022-12-15,"34-258","MIL","@","MEM","L (-41)","1","18:06","1","6",".167","0","4",".000","2","2","1.000","2","1","3","1","0","0","0","2","4","1.8","-23","Robin Lopez"
"287",29,28,2022-12-17,"34-260","MIL",H,"UTA","W (+26)","1","25:52","8","15",".533","1","3",".333","1","3",".333","3","5","8","1","0","3","1","0","18","15.3","+11","Robin Lopez"
"288",30,29,2022-12-19,"34-262","MIL","@","NOP","W (+9)","1","35:14","12","17",".706","4","9",".444","2","2","1.000","3","5","8","3","0","1","2","4","30","25.7","+8","Robin Lopez"
"289",31,30,2022-12-21,"34-264","MIL","@","CLE","L (-8)","1","27:42","5","7",".714","2","3",".667","2","3",".667","2","4","6","2","2","1","5","3","14","11.2","-13","Robin Lopez"
"290",32,31,2022-12-23,"34-266","MIL","@","BRK","L (-18)","1","30:28","10","16",".625","2","5",".400","1","2",".500","2","3","5","0","1","0","1","1","23","17.3","-27","Robin Lopez"
"291",33,32,2022-12-25,"34-268","MIL","@","BOS","L (-21)","1","31:54","7","8",".875","1","2",".500","1","2",".500","3","2","5","1","1","1","2","1","16","15.5","-3","Robin Lopez"
"292",34,33,2022-12-28,"34-271","MIL","@","CHI","L (-6)","1","37:23","5","12",".417","0","4",".000","4","5",".800","2","4","6","1","1","4","1","4","14","11.7","-9","Robin Lopez"
"293",35,34,2022-12-30,"34-273","MIL",H,"MIN","W (+9)","1","26:22","5","11",".455","0","3",".000","3","4",".750","2","4","6","0","0","4","3","6","13","6.9","+6","Robin Lopez"
"294",36,35,2023-01-01,"34-275","MIL",H,"WAS","L (-23)","1","23:30","3","10",".300","1","3",".333","1","1","1.000","4","6","10","0","1","1","2","2","8","5.7","-21","Robin Lopez"
"295",37,36,2023-01-03,"34-277","MIL",H,"WAS","W (+10)","1","27:46","10","13",".769","1","2",".500","0","0",NA,"6","6","12","3","1","6","1","3","21","27.0","-7","Robin Lopez"
"296",38,37,2023-01-04,"34-278","MIL","@","TOR","W (+3)","1","38:13","4","11",".364","1","3",".333","0","1",".000","3","16","19","2","0","2","2","5","9","8.2","+17","Robin Lopez"
