"","Rk","G","Date","Age","Tm","Column1","Opp","_1","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","Name"
"376",46,44,2023-01-18,"21-214","CLE","@","MEM","L (-1)","1","38:51","9","15",".600","0","1",".000","0","2",".000","4","11","15","3","1","2","6","2","18","14.1","+2","Evan Mobley"
"377",47,45,2023-01-20,"21-216","CLE",H,"GSW","L (-6)","1","36:49","7","12",".583","0","2",".000","3","4",".750","2","5","7","2","0","1","0","1","17","15.6","0","Evan Mobley"
"378",48,46,2023-01-21,"21-217","CLE",H,"MIL","W (+12)","1","37:58","19","27",".704","0","2",".000","0","1",".000","3","6","9","3","0","0","4","1","38","27.9","+20","Evan Mobley"
"379",49,47,2023-01-24,"21-220","CLE","@","NYK","L (-2)","1","37:42","6","11",".545","0","1",".000","0","0",NA,"1","6","7","3","1","2","3","4","12","9.1","0","Evan Mobley"
"380",50,48,2023-01-26,"21-222","CLE","@","HOU","W (+18)","1","33:19","6","16",".375","0","3",".000","9","10",".900","5","5","10","3","1","2","3","3","21","17.1","+17","Evan Mobley"
"381",51,49,2023-01-27,"21-223","CLE","@","OKC","L (-12)","1","37:38","9","18",".500","2","2","1.000","3","4",".750","2","9","11","1","0","2","4","5","23","13.8","-3","Evan Mobley"
"382",52,50,2023-01-29,"21-225","CLE",H,"LAC","W (+23)","1","26:47","4","9",".444","1","1","1.000","0","0",NA,"0","9","9","3","1","3","0","4","9","10.6","+36","Evan Mobley"
"383",53,51,2023-01-31,"21-227","CLE",H,"MIA","L (-3)","1","38:21","9","15",".600","0","2",".000","1","2",".500","1","6","7","4","0","2","0","3","19","17.2","+16","Evan Mobley"
"384",54,52,2023-02-02,"21-229","CLE",H,"MEM","W (+15)","1","33:24","7","17",".412","0","2",".000","3","5",".600","4","10","14","5","1","2","3","3","17","14.6","+1","Evan Mobley"
"385",55,53,2023-02-05,"21-232","CLE","@","IND","W (+19)","1","30:56","7","12",".583","0","1",".000","3","4",".750","1","9","10","4","1","3","0","4","17","18.7","+18","Evan Mobley"
"386",56,54,2023-02-06,"21-233","CLE","@","WAS","W (+23)","1","28:26","7","13",".538","0","0",NA,"2","3",".667","4","1","5","2","2","2","1","3","16","15.0","+23","Evan Mobley"
"387",57,55,2023-02-08,"21-235","CLE",H,"DET","W (+28)","1","32:03","7","14",".500","0","0",NA,"5","6",".833","3","5","8","3","0","0","3","1","19","13.9","+21","Evan Mobley"
"388",58,56,2023-02-10,"21-237","CLE","@","NOP","W (+11)","1","36:32","13","18",".722","0","0",NA,"2","3",".667","3","10","13","2","3","2","0","3","28","29.9","+18","Evan Mobley"
"389",59,57,2023-02-11,"21-238","CLE",H,"CHI","W (+8)","1","35:39","6","13",".462","2","4",".500","0","0",NA,"1","5","6","3","2","0","2","4","14","10.0","+2","Evan Mobley"
"390",60,58,2023-02-13,"21-240","CLE",H,"SAS","W (+8)","1","37:42","5","10",".500","0","1",".000","5","8",".625","2","7","9","1","1","2","3","2","15","11.6","+3","Evan Mobley"
"391",61,59,2023-02-15,"21-242","CLE","@","PHI","L (-6)","1","35:30","9","19",".474","0","4",".000","5","7",".714","1","8","9","1","0","0","2","4","23","12.7","-8","Evan Mobley"
"392",62,60,2023-02-23,"21-250","CLE",H,"DEN","L (-6)","1","37:50","12","19",".632","2","4",".500","5","5","1.000","2","7","9","1","1","1","1","4","31","25.8","0","Evan Mobley"
"393",63,61,2023-02-24,"21-251","CLE","@","ATL","L (-17)","1","29:49","6","11",".545","0","0",NA,"1","2",".500","0","4","4","2","1","1","4","3","13","6.4","-8","Evan Mobley"
"394",64,62,2023-02-26,"21-253","CLE",H,"TOR","W (+25)","1","33:22","7","14",".500","2","6",".333","2","4",".500","3","6","9","4","1","1","2","2","18","15.8","+22","Evan Mobley"
"395",65,63,2023-03-01,"21-256","CLE","@","BOS","L (-4)","1","39:11","6","15",".400","0","2",".000","0","2",".000","2","11","13","1","1","0","0","3","12","8.3","-1","Evan Mobley"
"396",66,64,2023-03-04,"21-259","CLE",H,"DET","W (+24)","1","29:36","7","14",".500","0","1",".000","2","4",".500","3","8","11","6","1","4","3","1","16","17.3","+28","Evan Mobley"
"397",67,65,2023-03-06,"21-261","CLE",H,"BOS","W (+4)","1","41:19","10","14",".714","1","4",".250","4","7",".571","5","12","17","1","0","3","3","5","25","22.9","+9","Evan Mobley"
"398",68,66,2023-03-08,"21-263","CLE","@","MIA","W (+4)","1","31:52","5","9",".556","0","2",".000","5","6",".833","2","4","6","6","1","2","3","3","15","15.3","-1","Evan Mobley"
"399",69,67,2023-03-10,"21-265","CLE","@","MIA","L (-4)","1","28:24","4","10",".400","1","3",".333","3","4",".750","0","4","4","2","0","1","0","4","12","7.9","-18","Evan Mobley"
"400",70,68,2023-03-12,"21-267","CLE","@","CHO","W (+6)","1","39:07","6","13",".462","0","0",NA,"6","11",".545","2","7","9","3","1","0","0","3","18","14.7","+15","Evan Mobley"
"401",71,69,2023-03-14,"21-269","CLE","@","CHO","W (+16)","1","30:45","10","15",".667","0","0",NA,"6","6","1.000","1","5","6","2","1","1","0","2","26","24.0","+14","Evan Mobley"
"402",72,70,2023-03-15,"21-270","CLE",H,"PHI","L (-9)","1","39:13","5","10",".500","0","1",".000","3","7",".429","5","7","12","5","1","2","1","2","13","16.1","-15","Evan Mobley"
"403",73,71,2023-03-17,"21-272","CLE",H,"WAS","W (+23)","1","35:31","8","15",".533","0","0",NA,"4","6",".667","1","7","8","3","0","4","2","3","20","16.4","+16","Evan Mobley"
"404",74,72,2023-03-21,"21-276","CLE","@","BRK","W (+6)","1","36:05","8","12",".667","1","2",".500","0","0",NA,"0","4","4","3","1","0","3","3","17","11.9","+6","Evan Mobley"
"405",75,73,2023-03-23,"21-278","CLE","@","BRK","W (+2)","1","39:58","11","18",".611","0","1",".000","4","6",".667","5","11","16","3","1","4","0","1","26","29.3","+16","Evan Mobley"
"406",76,74,2023-03-26,"21-281","CLE",H,"HOU","W (+17)","1","39:46","8","12",".667","0","1",".000","3","6",".500","3","4","7","5","1","3","3","1","19","19.1","+21","Evan Mobley"
"407",77,75,2023-03-28,"21-283","CLE","@","ATL","L (-2)","1","40:11","10","13",".769","0","0",NA,"0","2",".000","5","10","15","6","1","4","0","3","20","27.4","+12","Evan Mobley"
"408",1,1,2022-10-18,"24-229","BOS",H,"PHI","W (+9)","1","38:38","13","20",".650","2","7",".286","7","9",".778","0","12","12","4","1","1","3","1","35","30.1","+10","Jayson Tatum"
"409",2,2,2022-10-21,"24-232","BOS","@","MIA","W (+7)","1","36:47","10","22",".455","2","7",".286","7","7","1.000","2","3","5","4","1","2","2","1","29","22.7","-1","Jayson Tatum"
"410",3,3,2022-10-22,"24-233","BOS","@","ORL","W (+6)","1","37:39","14","21",".667","4","10",".400","8","9",".889","0","8","8","1","1","2","1","2","40","34.2","+6","Jayson Tatum"
"411",4,4,2022-10-24,"24-235","BOS","@","CHI","L (-18)","1","35:26","8","18",".444","4","8",".500","6","6","1.000","0","8","8","5","0","0","1","2","26","20.7","-8","Jayson Tatum"
"412",5,5,2022-10-28,"24-239","BOS",H,"CLE","L (-9)","1","42:11","11","19",".579","3","7",".429","7","8",".875","1","6","7","4","1","1","4","4","32","24.1","-10","Jayson Tatum"
"413",6,6,2022-10-30,"24-241","BOS",H,"WAS","W (+18)","1","27:25","8","15",".533","5","10",".500","2","2","1.000","0","4","4","3","1","0","4","0","23","16.0","+10","Jayson Tatum"
"414",7,7,2022-11-02,"24-244","BOS","@","CLE","L (-1)","1","42:52","8","21",".381","2","9",".222","8","8","1.000","3","9","12","6","1","4","6","0","26","21.3","-16","Jayson Tatum"
"415",8,8,2022-11-04,"24-246","BOS",H,"CHI","W (+4)","1","40:03","8","23",".348","3","10",".300","17","20",".850","2","10","12","6","1","1","1","4","36","29.6","+11","Jayson Tatum"
"416",9,9,2022-11-05,"24-247","BOS","@","NYK","W (+15)","1","36:31","8","17",".471","6","13",".462","4","4","1.000","0","4","4","5","1","2","3","3","26","20.2","+12","Jayson Tatum"
"417",10,10,2022-11-07,"24-249","BOS","@","MEM","W (+3)","1","39:35","12","25",".480","3","11",".273","12","16",".750","0","3","3","2","0","2","2","2","39","25.6","+15","Jayson Tatum"
"418",11,11,2022-11-09,"24-251","BOS",H,"DET","W (+16)","1","31:35","10","20",".500","5","11",".455","6","7",".857","0","1","1","5","1","1","1","4","31","23.5","+16","Jayson Tatum"
"419",12,12,2022-11-11,"24-253","BOS",H,"DEN","W (+19)","1","37:19","11","21",".524","2","7",".286","10","11",".909","0","8","8","5","0","0","1","4","34","26.6","+18","Jayson Tatum"
"420",13,13,2022-11-12,"24-254","BOS","@","DET","W (+9)","1","40:59","14","28",".500","7","14",".500","8","10",".800","2","8","10","3","1","1","3","2","43","32.0","+7","Jayson Tatum"
"421",14,14,2022-11-14,"24-256","BOS",H,"OKC","W (+4)","1","38:00","9","23",".391","1","9",".111","8","10",".800","1","9","10","1","3","3","1","2","27","21.1","+2","Jayson Tatum"
"422",15,15,2022-11-16,"24-258","BOS","@","ATL","W (+25)","1","32:54","6","19",".316","3","10",".300","4","4","1.000","1","6","7","8","1","1","2","1","19","15.5","+28","Jayson Tatum"
"423",16,16,2022-11-18,"24-260","BOS","@","NOP","W (+8)","1","39:28","6","18",".333","2","10",".200","5","6",".833","0","7","7","10","0","0","3","1","19","14.1","+11","Jayson Tatum"
"424",17,17,2022-11-21,"24-263","BOS","@","CHI","L (-14)","1","35:46","9","19",".474","4","10",".400","6","7",".857","2","9","11","7","0","0","4","1","28","22.5","-13","Jayson Tatum"
"425",18,18,2022-11-23,"24-265","BOS",H,"DAL","W (+13)","1","36:49","11","24",".458","2","7",".286","13","15",".867","3","10","13","5","0","2","2","1","37","31.4","+14","Jayson Tatum"
"426",19,19,2022-11-25,"24-267","BOS",H,"SAC","W (+18)","1","31:09","10","17",".588","2","6",".333","8","9",".889","1","7","8","4","1","0","3","4","30","23.7","+12","Jayson Tatum"
"427",21,20,2022-11-28,"24-270","BOS",H,"CHO","W (+35)","1","29:50","15","28",".536","4","14",".286","1","1","1.000","0","3","3","3","2","1","0","3","35","25.9","+45","Jayson Tatum"
"428",22,21,2022-11-30,"24-272","BOS",H,"MIA","W (+13)","1","39:13","15","25",".600","8","12",".667","11","12",".917","1","10","11","3","2","0","1","3","49","42.7","+29","Jayson Tatum"
"429",23,22,2022-12-02,"24-274","BOS",H,"MIA","L (-4)","1","41:02","5","18",".278","0","7",".000","4","6",".667","3","9","12","3","0","0","5","4","14","2.9","0","Jayson Tatum"
"430",24,23,2022-12-04,"24-276","BOS","@","BRK","W (+11)","1","36:38","10","19",".526","3","6",".500","6","6","1.000","2","9","11","1","4","0","9","3","29","18.3","+12","Jayson Tatum"
"431",25,24,2022-12-05,"24-277","BOS","@","TOR","W (+6)","1","38:44","11","24",".458","5","10",".500","4","5",".800","3","9","12","3","1","1","4","2","31","22.0","+9","Jayson Tatum"
"432",26,25,2022-12-07,"24-279","BOS","@","PHO","W (+27)","1","29:06","9","19",".474","3","8",".375","4","6",".667","0","5","5","2","2","0","3","2","25","15.6","+26","Jayson Tatum"
"433",27,26,2022-12-10,"24-282","BOS","@","GSW","L (-16)","1","39:45","6","21",".286","2","9",".222","4","7",".571","1","6","7","2","3","1","2","2","18","9.3","-13","Jayson Tatum"
"434",28,27,2022-12-12,"24-284","BOS","@","LAC","L (-20)","1","36:34","7","20",".350","2","8",".250","4","4","1.000","2","9","11","4","1","0","3","3","20","12.5","-18","Jayson Tatum"
"435",29,28,2022-12-13,"24-285","BOS","@","LAL","W (+4)","1","43:55","15","29",".517","5","10",".500","9","10",".900","1","8","9","6","0","1","4","1","44","32.9","+12","Jayson Tatum"
"436",30,29,2022-12-16,"24-288","BOS",H,"ORL","L (-8)","1","38:03","9","20",".450","2","8",".250","11","12",".917","3","4","7","3","2","0","2","1","31","25.2","-10","Jayson Tatum"
"437",32,30,2022-12-21,"24-293","BOS",H,"IND","L (-5)","1","41:03","13","25",".520","4","11",".364","11","13",".846","1","4","5","4","2","1","2","0","41","33.3","+4","Jayson Tatum"
"438",33,31,2022-12-23,"24-295","BOS",H,"MIN","W (+12)","1","35:00","10","22",".455","1","6",".167","9","11",".818","2","6","8","5","1","0","3","3","30","21.3","+11","Jayson Tatum"
"439",34,32,2022-12-25,"24-297","BOS",H,"MIL","W (+21)","1","35:58","14","22",".636","3","7",".429","10","10","1.000","0","7","7","5","3","0","1","3","41","37.6","+18","Jayson Tatum"
"440",35,33,2022-12-27,"24-299","BOS",H,"HOU","W (+24)","1","34:06","12","25",".480","6","16",".375","8","8","1.000","0","8","8","4","1","1","2","2","38","29.4","+12","Jayson Tatum"
"441",36,34,2022-12-29,"24-301","BOS",H,"LAC","W (+6)","1","35:45","10","26",".385","3","11",".273","6","10",".600","1","10","11","1","0","1","2","2","29","15.5","-5","Jayson Tatum"
"442",37,35,2023-01-01,"24-304","BOS","@","DEN","L (-12)","1","35:31","7","16",".438","0","4",".000","11","14",".786","0","7","7","6","2","0","5","1","25","18.3","-15","Jayson Tatum"
"443",38,36,2023-01-03,"24-306","BOS","@","OKC","L (-33)","1","30:21","9","17",".529","2","7",".286","7","7","1.000","1","5","6","2","0","0","4","2","27","17.5","-25","Jayson Tatum"
"444",39,37,2023-01-05,"24-308","BOS","@","DAL","W (+29)","1","35:26","8","22",".364","2","8",".250","11","12",".917","2","12","14","10","1","2","2","2","29","28.0","+15","Jayson Tatum"
"445",40,38,2023-01-07,"24-310","BOS","@","SAS","W (+5)","1","36:02","13","26",".500","5","10",".500","3","5",".600","0","4","4","2","0","0","2","3","34","19.6","+2","Jayson Tatum"
"446",41,39,2023-01-09,"24-312","BOS",H,"CHI","W (+8)","1","37:49","10","21",".476","4","11",".364","8","8","1.000","0","8","8","7","1","0","1","2","32","27.8","+14","Jayson Tatum"
"447",42,40,2023-01-11,"24-314","BOS",H,"NOP","W (+11)","1","35:55","10","22",".455","3","8",".375","8","10",".800","2","8","10","4","1","0","0","2","31","25.6","+12","Jayson Tatum"
"448",43,41,2023-01-12,"24-315","BOS","@","BRK","W (+11)","1","38:22","7","22",".318","2","10",".200","4","4","1.000","0","11","11","5","0","1","3","3","20","10.7","+2","Jayson Tatum"
"449",44,42,2023-01-14,"24-317","BOS","@","CHO","W (+16)","1","36:54","12","27",".444","4","14",".286","5","5","1.000","3","6","9","6","0","1","1","0","33","26.7","+26","Jayson Tatum"
"450",45,43,2023-01-16,"24-319","BOS","@","CHO","W (+12)","1","40:10","15","23",".652","7","12",".583","14","14","1.000","1","8","9","5","0","0","4","3","51","42.3","+15","Jayson Tatum"
"451",46,44,2023-01-19,"24-322","BOS",H,"GSW","W (+3)","1","48:07","9","27",".333","4","13",".308","12","12","1.000","2","17","19","6","3","0","7","2","34","24.6","+7","Jayson Tatum"
"452",48,45,2023-01-23,"24-326","BOS","@","ORL","L (-15)","1","37:38","9","19",".474","4","10",".400","4","6",".667","0","6","6","7","1","0","3","2","26","19.4","+6","Jayson Tatum"
"453",49,46,2023-01-24,"24-327","BOS","@","MIA","L (-3)","1","39:39","9","18",".500","2","5",".400","11","14",".786","0","14","14","7","0","0","7","4","31","21.3","-3","Jayson Tatum"
"454",50,47,2023-01-26,"24-329","BOS",H,"NYK","L (-3)","1","43:07","12","26",".462","2","7",".286","9","9","1.000","2","12","14","4","1","1","3","3","35","26.9","+6","Jayson Tatum"
"455",51,48,2023-01-28,"24-331","BOS",H,"LAL","W (+4)","1","47:20","8","25",".320","3","10",".300","11","12",".917","2","9","11","4","2","1","6","3","30","17.7","+3","Jayson Tatum"
"456",52,49,2023-02-01,"24-335","BOS",H,"BRK","W (+43)","1","29:19","12","19",".632","7","12",".583","0","0",NA,"1","8","9","4","2","1","1","1","31","29.7","+46","Jayson Tatum"
"457",53,50,2023-02-03,"24-337","BOS",H,"PHO","L (-12)","1","37:53","3","15",".200","3","10",".300","11","12",".917","0","6","6","5","0","0","2","3","20","12.4","+1","Jayson Tatum"
"458",54,51,2023-02-06,"24-340","BOS","@","DET","W (+12)","1","39:21","11","24",".458","3","9",".333","9","10",".900","2","9","11","6","0","1","3","4","34","25.6","+16","Jayson Tatum"
"459",55,52,2023-02-08,"24-342","BOS",H,"PHI","W (+7)","1","37:24","5","15",".333","1","5",".200","1","3",".333","1","7","8","9","1","1","4","2","12","8.7","+5","Jayson Tatum"
"460",56,53,2023-02-10,"24-344","BOS",H,"CHO","W (+11)","1","36:55","13","21",".619","5","10",".500","10","12",".833","0","4","4","4","1","2","4","2","41","32.3","+2","Jayson Tatum"
"461",57,54,2023-02-12,"24-346","BOS",H,"MEM","W (+10)","1","37:59","3","16",".188","1","8",".125","9","12",".750","0","7","7","3","2","2","3","0","16","9.4","+7","Jayson Tatum"
"462",59,55,2023-02-15,"24-349","BOS",H,"DET","W (+18)","1","34:02","15","24",".625","6","10",".600","2","2","1.000","0","9","9","7","0","0","4","3","38","29.6","+1","Jayson Tatum"
"463",60,56,2023-02-23,"24-357","BOS","@","IND","W (+4)","1","41:42","9","25",".360","3","12",".250","10","11",".909","3","9","12","7","2","1","4","1","31","24.7","-8","Jayson Tatum"
"464",61,57,2023-02-25,"24-359","BOS","@","PHI","W (+3)","1","36:26","7","17",".412","3","8",".375","1","2",".500","3","10","13","6","0","1","5","1","18","13.1","-6","Jayson Tatum"
"465",62,58,2023-02-27,"24-361","BOS","@","NYK","L (-15)","1","36:41","6","18",".333","1","9",".111","1","1","1.000","2","5","7","9","1","0","4","1","14","9.6","-18","Jayson Tatum"
"466",63,59,2023-03-01,"24-363","BOS",H,"CLE","W (+4)","1","35:57","13","21",".619","4","6",".667","11","14",".786","2","9","11","8","0","0","3","1","41","36.6","+4","Jayson Tatum"
"467",64,60,2023-03-03,"25-000","BOS",H,"BRK","L (-10)","1","38:20","10","23",".435","0","7",".000","2","2","1.000","1","12","13","5","1","2","4","2","22","15.3","-19","Jayson Tatum"
"468",65,61,2023-03-05,"25-002","BOS",H,"NYK","L (-2)","1","48:57","12","30",".400","6","17",".353","10","12",".833","2","9","11","6","0","0","2","2","40","28.5","+4","Jayson Tatum"
"469",67,62,2023-03-08,"25-005","BOS",H,"POR","W (+22)","1","30:44","11","17",".647","6","10",".600","2","4",".500","1","6","7","2","1","0","3","0","30","23.6","+21","Jayson Tatum"
"470",68,63,2023-03-11,"25-008","BOS","@","ATL","W (+9)","1","35:27","12","25",".480","5","14",".357","5","6",".833","0","15","15","6","0","1","1","5","34","27.3","+13","Jayson Tatum"
"471",69,64,2023-03-13,"25-010","BOS","@","HOU","L (-2)","1","41:04","8","22",".364","2","10",".200","4","4","1.000","0","8","8","6","1","0","4","1","22","13.0","-2","Jayson Tatum"
"472",70,65,2023-03-15,"25-012","BOS","@","MIN","W (+2)","1","36:55","4","16",".250","0","8",".000","14","16",".875","1","11","12","2","2","1","2","5","22","15.7","-3","Jayson Tatum"
"473",71,66,2023-03-17,"25-014","BOS","@","POR","W (+14)","1","36:29","8","20",".400","2","11",".182","16","18",".889","1","11","12","4","3","0","5","2","34","26.4","+11","Jayson Tatum"
"474",72,67,2023-03-18,"25-015","BOS","@","UTA","L (-1)","1","38:42","4","12",".333","3","8",".375","4","6",".667","0","3","3","6","0","1","2","3","15","10.0","-13","Jayson Tatum"
"475",73,68,2023-03-21,"25-018","BOS","@","SAC","W (+23)","1","35:16","14","25",".560","2","7",".286","6","11",".545","1","7","8","4","2","0","1","0","36","28.7","+21","Jayson Tatum"
"476",74,69,2023-03-24,"25-021","BOS",H,"IND","W (+25)","1","32:26","13","24",".542","3","9",".333","5","6",".833","0","7","7","2","2","0","6","3","34","20.3","+23","Jayson Tatum"
"477",76,70,2023-03-28,"25-025","BOS","@","WAS","L (-19)","1","31:52","11","19",".579","2","7",".286","4","4","1.000","0","9","9","5","0","1","3","4","28","21.4","-10","Jayson Tatum"
"478",1,1,2022-10-19,"31-360","CHI","@","MIA","W (+8)","1","33:07","5","13","0.385","1","5","0.2","4","4","1","5","12","17","2","0","3","1","1","15","17.1","16","Nikola Vucevic"
"479",2,2,2022-10-21,"31-362","CHI","@","WAS","L (-2)","1","29:59","5","14","0.357","2","7","0.286","12","12","1","2","6","8","1","0","0","1","0","24","19.1","-10","Nikola Vucevic"
"480",3,3,2022-10-22,"31-363","CHI",H,"CLE","L (-32)","1","30:47","7","12","0.583","2","3","0.667","0","0",NA,"1","3","4","3","0","3","2","3","16","13","-10","Nikola Vucevic"
"481",4,4,2022-10-24,"32-000","CHI",H,"BOS","W (+18)","1","30:37","7","19","0.368","0","3","0","4","5","0.8","10","13","23","5","0","0","2","3","18","18.3","1","Nikola Vucevic"
"482",5,5,2022-10-26,"32-002","CHI",H,"IND","W (+15)","1","31:15","5","10","0.5","1","3","0.333","3","3","1","1","6","7","4","0","0","2","4","14","10.7","-1","Nikola Vucevic"
"483",6,6,2022-10-28,"32-004","CHI","@","SAS","L (-5)","1","24:31","4","13","0.308","1","5","0.2","0","0",NA,"3","2","5","2","0","1","2","3","9","3.1","-15","Nikola Vucevic"
"484",7,7,2022-10-29,"32-005","CHI",H,"PHI","L (-5)","1","36:22","8","14","0.571","5","7","0.714","2","2","1","3","16","19","3","1","0","4","4","23","20.8","-2","Nikola Vucevic"
"485",8,8,2022-11-01,"32-008","CHI","@","BRK","W (+9)","1","31:56","3","8","0.375","0","1","0","1","2","0.5","3","12","15","2","1","0","1","2","7","8.5","5","Nikola Vucevic"
"486",9,9,2022-11-02,"32-009","CHI",H,"CHO","W (+18)","1","31:34","5","16","0.313","2","6","0.333","2","2","1","2","11","13","3","0","1","4","2","14","7.5","-4","Nikola Vucevic"
"487",10,10,2022-11-04,"32-011","CHI","@","BOS","L (-4)","1","35:14","10","14","0.714","4","5","0.8","0","0",NA,"3","9","12","3","1","0","1","4","24","23.5","10","Nikola Vucevic"
"488",11,11,2022-11-06,"32-013","CHI","@","TOR","L (-9)","1","35:28","8","13","0.615","2","5","0.4","0","0",NA,"4","8","12","6","0","1","4","2","18","17.4","-10","Nikola Vucevic"
"489",12,12,2022-11-07,"32-014","CHI",H,"TOR","W (+14)","1","34:43","7","14","0.5","1","4","0.25","0","0",NA,"0","13","13","4","0","2","5","3","15","9.9","7","Nikola Vucevic"
"490",13,13,2022-11-09,"32-016","CHI",H,"NOP","L (-4)","1","27:24","6","9","0.667","2","4","0.5","4","5","0.8","0","7","7","2","0","0","2","2","18","14.4","-13","Nikola Vucevic"
"491",14,14,2022-11-13,"32-020","CHI",H,"DEN","L (-23)","1","23:04","4","10","0.4","1","3","0.333","0","0",NA,"0","6","6","0","0","0","3","1","9","2","-16","Nikola Vucevic"
"492",15,15,2022-11-16,"32-023","CHI","@","NOP","L (-14)","1","29:46","6","13","0.462","2","5","0.4","0","0",NA,"2","8","10","0","1","0","2","1","14","9.7","-10","Nikola Vucevic"
"493",16,16,2022-11-18,"32-025","CHI",H,"ORL","L (-1)","1","33:24","5","13","0.385","0","2","0","4","6","0.667","3","13","16","7","1","3","1","3","14","17.9","9","Nikola Vucevic"
"494",17,17,2022-11-21,"32-028","CHI",H,"BOS","W (+14)","1","35:03","6","7","0.857","0","1","0","0","1","0","1","12","13","6","0","0","0","0","12","17.6","20","Nikola Vucevic"
"495",18,18,2022-11-23,"32-030","CHI","@","MIL","W (+5)","1","29:48","7","14","0.5","4","10","0.4","0","0",NA,"1","4","5","4","0","1","2","1","18","14","13","Nikola Vucevic"
"496",19,19,2022-11-25,"32-032","CHI","@","OKC","L (-4)","1","39:59","6","14","0.429","1","7","0.143","0","0",NA,"3","10","13","3","0","0","2","1","13","10.4","5","Nikola Vucevic"
"497",20,20,2022-11-28,"32-035","CHI","@","UTA","W (+7)","1","33:34","8","17","0.471","0","4","0","0","0",NA,"3","6","9","2","1","0","1","1","16","12.2","3","Nikola Vucevic"
"498",21,21,2022-11-30,"32-037","CHI","@","PHO","L (-19)","1","29:22","5","9","0.556","1","3","0.333","6","7","0.857","1","7","8","1","2","1","2","5","17","14.5","-10","Nikola Vucevic"
"499",22,22,2022-12-02,"32-039","CHI","@","GSW","L (-8)","1","32:11","9","17","0.529","2","7","0.286","3","4","0.75","0","11","11","1","3","0","1","1","23","19.9","-8","Nikola Vucevic"
"500",23,23,2022-12-04,"32-041","CHI","@","SAC","L (-9)","1","37:04","4","10","0.4","2","4","0.5","2","2","1","0","6","6","1","0","1","2","0","12","7.8","-5","Nikola Vucevic"
"501",24,24,2022-12-07,"32-044","CHI",H,"WAS","W (+4)","1","35:35","10","16","0.625","3","5","0.6","2","3","0.667","2","9","11","3","2","2","1","1","25","25.6","13","Nikola Vucevic"
"502",25,25,2022-12-10,"32-047","CHI",H,"DAL","W (+29)","1","26:06","8","11","0.727","2","3","0.667","2","2","1","2","6","8","4","1","1","0","3","20","22","10","Nikola Vucevic"
"503",26,26,2022-12-11,"32-048","CHI","@","ATL","L (-1)","1","36:37","6","11","0.545","1","2","0.5","0","0",NA,"2","6","8","1","2","0","0","0","13","13.6","-3","Nikola Vucevic"
"504",27,27,2022-12-14,"32-051","CHI",H,"NYK","L (-8)","1","41:07","9","16","0.563","1","5","0.2","0","0",NA,"0","7","7","5","0","2","1","1","19","17","-3","Nikola Vucevic"
"505",28,28,2022-12-16,"32-053","CHI",H,"NYK","L (-23)","1","29:19","4","8","0.5","1","3","0.333","0","0",NA,"1","7","8","4","0","0","2","2","9","7.8","-23","Nikola Vucevic"
"506",29,29,2022-12-18,"32-055","CHI","@","MIN","L (-24)","1","32:14","10","15","0.667","3","6","0.5","0","0",NA,"1","8","9","5","2","1","4","3","23","20.6","-18","Nikola Vucevic"
"507",30,30,2022-12-20,"32-057","CHI","@","MIA","W (+10)","1","37:17","13","17","0.765","3","5","0.6","0","0",NA,"2","10","12","2","1","0","3","2","29","25.3","4","Nikola Vucevic"
"508",31,31,2022-12-21,"32-058","CHI","@","ATL","W (+2)","1","33:08","8","17","0.471","2","7","0.286","2","2","1","2","5","7","2","1","1","0","1","20","16.9","-13","Nikola Vucevic"
"509",32,32,2022-12-23,"32-060","CHI","@","NYK","W (+1)","1","39:03","8","16","0.5","3","7","0.429","2","2","1","3","9","12","2","1","0","1","3","21","18","9","Nikola Vucevic"
"510",33,33,2022-12-26,"32-063","CHI",H,"HOU","L (-15)","1","29:50","4","13","0.308","1","5","0.2","1","2","0.5","0","3","3","4","0","0","2","3","10","2.6","-13","Nikola Vucevic"
"511",34,34,2022-12-28,"32-065","CHI",H,"MIL","W (+6)","1","36:30","5","12","0.417","3","5","0.6","2","2","1","2","12","14","5","0","3","4","5","15","13.2","-4","Nikola Vucevic"
"512",35,35,2022-12-30,"32-067","CHI",H,"DET","W (+14)","1","32:49","9","16","0.563","1","3","0.333","0","0",NA,"3","6","9","2","1","3","1","1","19","18.4","16","Nikola Vucevic"
"513",36,36,2022-12-31,"32-068","CHI",H,"CLE","L (-1)","1","34:30","5","13","0.385","0","4","0","1","2","0.5","3","11","14","1","2","1","0","2","11","11.5","7","Nikola Vucevic"
"514",37,37,2023-01-02,"32-070","CHI","@","CLE","L (-11)","1","43:31","6","8","0.75","2","4","0.5","6","7","0.857","1","12","13","2","0","0","1","3","20","19.9","-19","Nikola Vucevic"
"515",38,38,2023-01-04,"32-072","CHI",H,"BRK","W (+9)","1","35:52","8","12","0.667","1","3","0.333","4","4","1","2","11","13","3","0","2","3","2","21","20.2","6","Nikola Vucevic"
"516",39,39,2023-01-06,"32-074","CHI","@","PHI","W (+14)","1","36:29","8","14","0.571","2","3","0.667","1","1","1","2","16","18","10","0","2","1","1","19","25.6","16","Nikola Vucevic"
